,inputs,outputs,nb_plays-50-units-128-ensemble-1-predictions,nb_plays-50-units-128-ensemble-2-predictions,nb_plays-50-units-128-ensemble-3-predictions,nb_plays-50-units-128-ensemble-4-predictions,nb_plays-50-units-128-ensemble-5-predictions,nb_plays-50-units-128-ensemble-6-predictions,nb_plays-50-units-128-ensemble-7-predictions,nb_plays-50-units-128-ensemble-8-predictions,nb_plays-50-units-128-ensemble-9-predictions,nb_plays-50-units-128-ensemble-10-predictions,nb_plays-50-units-128-ensemble-11-predictions,nb_plays-50-units-128-ensemble-12-predictions,nb_plays-50-units-128-ensemble-13-predictions,nb_plays-50-units-128-ensemble-14-predictions,nb_plays-50-units-128-ensemble-15-predictions,nb_plays-50-units-128-ensemble-16-predictions,nb_plays-50-units-128-ensemble-17-predictions,nb_plays-50-units-128-ensemble-18-predictions,nb_plays-50-units-128-ensemble-19-predictions,nb_plays-50-units-128-ensemble-20-predictions,lower,higher,average
0,-4.244,-57.813,-57.37,-41.833,-41.949,-44.366,-61.059,-42.271,-61.258,-40.742,-46.576,-41.778,-53.176,-45.417,-41.851,-47.27,-41.4,-45.651,-43.041,-44.138,-43.193,-52.766,-61.258,-40.742,-46.85525
1,-4.118,-56.743,-56.644,-46.651,-47.957,-43.834,-60.321,-44.478,-62.538,-46.275,-47.228,-44.003,-52.851,-45.193,-47.831,-49.469,-45.76,-46.72,-44.818,-45.984,-46.367,-51.899,-62.538,-43.834,-48.84105
2,-4.323,-56.756,-56.721,-49.878,-48.826,-48.322,-61.395,-48.104,-63.577,-47.663,-49.115,-47.831,-53.567,-49.5,-54.452,-51.982,-46.355,-48.25,-48.6,-47.029,-48.656,-53.594,-63.577,-46.355,-51.17085
3,-4.271,-56.756,-56.631,-49.508,-51.878,-49.512,-56.412,-47.904,-63.806,-48.585,-49.188,-49.178,-53.496,-54.445,-55.13,-52.996,-47.497,-49.403,-48.613,-47.829,-48.668,-53.347,-63.806,-47.497,-51.7013
4,-4.498,-57.235,-57.171,-52.506,-56.124,-51.65,-54.146,-52.394,-63.522,-50.646,-50.358,-50.74,-54.518,-55.13,-55.941,-54.315,-50.768,-53.076,-49.685,-50.06,-49.935,-55.139,-63.522,-49.685,-53.3912
5,-4.477,-57.235,-57.288,-54.558,-57.201,-53.718,-52.707,-52.229,-60.851,-51.933,-51.042,-51.94,-54.695,-56.982,-57.697,-54.21,-51.948,-54.086,-50.605,-50.096,-49.907,-55.666,-60.851,-49.907,-53.96795
6,-4.486,-57.235,-57.355,-56.727,-57.334,-54.702,-52.656,-54.804,-60.184,-52.361,-51.491,-52.551,-55.11,-57.841,-58.386,-54.268,-51.943,-54.368,-52.376,-50.188,-50.38,-56.734,-60.184,-50.188,-54.58795
7,-4.696,-58.02,-57.83,-60.611,-58.098,-55.588,-54.134,-54.413,-60.905,-54.602,-52.775,-53.596,-56.745,-60.917,-61.801,-55.619,-54.096,-55.201,-53.687,-52.35,-51.608,-60.678,-61.801,-51.608,-56.2627
8,-4.57,-58.02,-57.756,-61.164,-57.625,-55.046,-53.049,-55.441,-60.459,-55.379,-52.319,-52.95,-56.541,-60.062,-62.227,-56.739,-52.937,-55.137,-53.233,-54.035,-52.488,-60.537,-62.227,-52.319,-56.2562
9,-4.669,-58.02,-57.932,-60.16,-58.011,-55.475,-53.903,-54.857,-60.803,-58.206,-52.962,-53.429,-57.642,-61.122,-62.618,-59.696,-53.789,-55.594,-54.64,-57.539,-54.601,-60.885,-62.618,-52.962,-57.1932
10,-4.851,-58.777,-58.547,-61.641,-58.81,-56.283,-55.219,-57.016,-61.448,-60.925,-54.051,-54.343,-59.485,-61.75,-62.895,-60.281,-55.472,-57.068,-56.387,-59.858,-57.364,-61.273,-62.895,-54.051,-58.5058
11,-4.85,-58.777,-58.994,-62.101,-59.199,-56.216,-55.117,-57.195,-61.482,-60.937,-54.288,-54.23,-60.186,-61.891,-62.831,-59.989,-56.604,-58.941,-58.43,-61.853,-58.028,-61.05,-62.831,-54.23,-58.9781
12,-4.699,-58.777,-58.601,-59.741,-58.862,-55.573,-53.928,-57.514,-60.983,-59.874,-53.839,-53.521,-59.981,-61.208,-62.553,-59.166,-56.532,-60.145,-60.167,-63.36,-56.363,-60.691,-63.36,-53.521,-58.6301
13,-4.707,-58.777,-58.56,-60.846,-58.718,-55.633,-54.095,-56.837,-60.987,-60.252,-53.545,-53.574,-60.779,-61.306,-62.687,-59.591,-56.802,-60.89,-61.61,-63.61,-56.401,-60.815,-63.61,-53.545,-58.8769
14,-4.844,-58.777,-59.021,-62.644,-59.17,-56.245,-55.153,-58.169,-61.445,-60.75,-54.308,-54.279,-61.524,-61.869,-62.878,-60.29,-57.809,-61.512,-60.605,-63.874,-57.292,-61.255,-63.874,-54.279,-59.5046
15,-4.821,-58.777,-59,-60.789,-59.449,-56.086,-54.886,-57.903,-61.391,-60.51,-54.567,-54.085,-61.773,-61.73,-62.787,-59.804,-58.185,-61.452,-63.428,-63.758,-57.281,-60.958,-63.758,-54.085,-59.4911
16,-4.867,-58.858,-59.17,-61.084,-60.111,-56.345,-55.29,-59.579,-61.539,-60.714,-55.257,-54.354,-62.04,-61.984,-62.892,-60.332,-58.444,-61.636,-66.471,-63.878,-57.71,-61.297,-66.471,-54.354,-60.00635
17,-4.881,-58.93,-59.179,-61.844,-61.106,-56.382,-55.38,-59.447,-61.588,-60.732,-57.381,-54.403,-62.073,-61.972,-62.884,-60.15,-58.501,-61.657,-66.591,-63.892,-58.273,-61.14,-66.591,-54.403,-60.22875
18,-4.807,-58.93,-58.928,-60.673,-62.545,-56.039,-54.765,-60.685,-61.356,-60.429,-60.347,-54.021,-61.753,-61.712,-62.762,-59.786,-58.266,-61.428,-66.173,-63.712,-57.875,-60.977,-66.173,-54.021,-60.2116
19,-5.105,-60.181,-59.999,-62.882,-65.276,-57.734,-57.45,-61.418,-62.211,-61.689,-61.058,-55.883,-63.047,-62.825,-63.179,-61.88,-59.139,-62.589,-67.844,-64.312,-60.747,-62.747,-67.844,-55.883,-61.69545
20,-4.902,-60.173,-59.095,-61.846,-65.008,-56.393,-56.475,-61.912,-61.673,-61.156,-60.552,-56,-61.946,-61.9,-62.823,-59.905,-58.506,-61.552,-66.713,-63.891,-61.653,-60.742,-66.713,-56,-60.98705
21,-5.02,-60.173,-59.696,-61.236,-65.312,-57.237,-57.384,-62.011,-62,-60.93,-61.83,-58.19,-62.721,-62.593,-63.083,-61.314,-58.889,-62.235,-67.372,-64.154,-65.52,-62.46,-67.372,-57.237,-61.80835
22,-5.014,-60.173,-59.541,-62.038,-65.305,-57.013,-57.737,-62.384,-61.99,-61.131,-60.878,-59.014,-62.454,-62.302,-63.024,-60.547,-58.841,-61.991,-67.341,-64.122,-67.591,-61.007,-67.591,-57.013,-61.81255
23,-5.027,-60.173,-59.632,-61.99,-65.339,-57.176,-58.22,-62.28,-62.027,-61.141,-62.155,-58.94,-62.614,-62.49,-63.054,-60.958,-58.874,-62.128,-67.413,-64.146,-66.37,-62.192,-67.413,-57.176,-61.95695
24,-5.037,-60.173,-59.645,-61.479,-65.361,-57.196,-58.838,-62.506,-62.054,-61.146,-61.054,-58.916,-62.596,-62.438,-63.06,-60.801,-58.896,-62.12,-67.469,-64.162,-67.468,-61.208,-67.469,-57.196,-61.92065
25,-5.122,-60.28,-59.944,-62.406,-65.565,-57.732,-60.103,-62.6,-62.275,-61.45,-62.516,-59.252,-62.903,-62.722,-63.159,-61.382,-59.107,-62.469,-67.945,-64.299,-66.84,-62.625,-67.945,-57.732,-62.3647
