,inputs,outputs,nb_plays-50-units-128-ensemble-1-predictions,nb_plays-50-units-128-ensemble-2-predictions,nb_plays-50-units-128-ensemble-3-predictions,nb_plays-50-units-128-ensemble-4-predictions,nb_plays-50-units-128-ensemble-5-predictions,nb_plays-50-units-128-ensemble-6-predictions,nb_plays-50-units-128-ensemble-7-predictions,nb_plays-50-units-128-ensemble-8-predictions,nb_plays-50-units-128-ensemble-9-predictions,nb_plays-50-units-128-ensemble-10-predictions,nb_plays-50-units-128-ensemble-11-predictions,nb_plays-50-units-128-ensemble-12-predictions,nb_plays-50-units-128-ensemble-13-predictions,nb_plays-50-units-128-ensemble-14-predictions,nb_plays-50-units-128-ensemble-15-predictions,nb_plays-50-units-128-ensemble-16-predictions,nb_plays-50-units-128-ensemble-17-predictions,nb_plays-50-units-128-ensemble-18-predictions,nb_plays-50-units-128-ensemble-19-predictions,nb_plays-50-units-128-ensemble-20-predictions,lower,higher,average
601,0,9.354,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
602,0.3,9.628,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
603,0.1,9.628,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
604,0.5,10.312,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
605,0,9.354,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
606,0.1,9.354,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
607,0.5,10.312,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
608,0,9.354,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
609,0.3,9.628,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
610,0.1,9.628,24.83,12.316,15.636,24.834,24.837,12.383,24.839,12.387,12.388,12.33,12.336,12.377,24.837,12.39,12.378,24.836,12.376,12.397,12.385,12.299,12.299,24.839,16.26955
