,inputs,outputs,nb_plays-50-units-128-ensemble-1-predictions,nb_plays-50-units-128-ensemble-2-predictions,nb_plays-50-units-128-ensemble-3-predictions,nb_plays-50-units-128-ensemble-4-predictions,nb_plays-50-units-128-ensemble-5-predictions,nb_plays-50-units-128-ensemble-6-predictions,nb_plays-50-units-128-ensemble-7-predictions,nb_plays-50-units-128-ensemble-8-predictions,nb_plays-50-units-128-ensemble-9-predictions,nb_plays-50-units-128-ensemble-10-predictions,nb_plays-50-units-128-ensemble-11-predictions,nb_plays-50-units-128-ensemble-12-predictions,nb_plays-50-units-128-ensemble-13-predictions,nb_plays-50-units-128-ensemble-14-predictions,nb_plays-50-units-128-ensemble-15-predictions,nb_plays-50-units-128-ensemble-16-predictions,nb_plays-50-units-128-ensemble-17-predictions,nb_plays-50-units-128-ensemble-18-predictions,nb_plays-50-units-128-ensemble-19-predictions,nb_plays-50-units-128-ensemble-20-predictions,,lower,higher
0,-4.244,-57.813,-38.864,-38.663,-46.124,-51.159,-47.01,-48.319,-42.049,-55.221,-40.39,-52.02,-60.283,-55.631,-57.119,-43.637,-45.671,-65.953,-48.779,-56.803,-61.397,-38.157,,-65.953,-38.157
1,-4.118,-56.743,-42.816,-40.223,-49.05,-49.537,-49.425,-48.611,-46.167,-55.31,-44.727,-51.331,-59.5,-56.003,-54.78,-49.863,-43.717,-65.336,-51.368,-54.679,-54.452,-46.904,,-65.336,-40.223
2,-4.323,-56.756,-46.305,-47.24,-50.793,-52.552,-50.821,-48.435,-50.172,-54.533,-47.762,-52.158,-59.373,-56.655,-53.941,-51.178,-51.371,-63.742,-54.265,-54.457,-56.788,-53.506,,-63.742,-46.305
3,-4.271,-56.756,-50.374,-50.676,-52.368,-52.839,-50.253,-54.603,-53.67,-55.31,-50.355,-50.81,-58.824,-56.734,-53.375,-54.373,-53.392,-60.44,-53.915,-54.35,-56.224,-54.705,,-60.44,-50.253
4,-4.498,-57.235,-53.913,-51.878,-55.355,-53.339,-51.273,-55.486,-55.561,-54.533,-52.48,-52.839,-59.683,-57.639,-53.746,-54.653,-56.084,-62.943,-54.977,-55.633,-56.793,-55.728,,-62.943,-51.273
5,-4.477,-57.235,-54.348,-53.975,-56.167,-53.382,-50.836,-57.935,-55.056,-55.31,-52.623,-51.681,-60.24,-57.856,-54.025,-54.035,-56.36,-62.949,-54.647,-56.079,-56.828,-56.094,,-62.949,-50.836
6,-4.486,-57.235,-54.441,-54.691,-56.259,-53.403,-51.014,-59.067,-55.511,-54.533,-52.805,-52.764,-60.783,-57.805,-54.342,-54.59,-56.441,-62.95,-54.76,-56.121,-56.876,-56.179,,-62.95,-51.014
7,-4.696,-58.02,-54.925,-59.059,-56.962,-54.185,-51.603,-60.088,-55.922,-55.406,-53.527,-53.892,-61.539,-59.006,-55.784,-55.712,-56.823,-62.954,-55.65,-56.858,-57.399,-57.492,,-62.954,-51.603
8,-4.57,-58.02,-54.725,-59.336,-57.273,-54.044,-51.017,-60.301,-55.439,-54.534,-53.116,-52.682,-61.549,-58.753,-56.694,-55.505,-56.63,-62.953,-54.903,-56.561,-57.277,-56.835,,-62.953,-51.017
9,-4.669,-58.02,-54.912,-59.947,-57.581,-54.326,-51.513,-60.606,-56.028,-55.385,-53.448,-54.285,-61.659,-59.447,-58.307,-55.647,-56.823,-62.954,-55.5,-56.85,-57.43,-57.433,,-62.954,-51.513
10,-4.851,-58.777,-55.423,-60.886,-59.468,-55.063,-52.02,-61.145,-56.326,-55.73,-54.518,-54.762,-61.897,-62.808,-60.033,-58.721,-56.977,-62.955,-55.69,-57.646,-57.573,-58.76,,-62.955,-52.02
11,-4.85,-58.777,-55.644,-61.334,-59.939,-55.335,-51.859,-61.435,-56.312,-56.712,-53.949,-57.144,-62.022,-62.564,-60.952,-61.634,-56.936,-62.955,-55.691,-57.933,-57.562,-58.662,,-62.955,-51.859
12,-4.699,-58.777,-55.332,-61.076,-60.941,-54.925,-51.322,-61.302,-55.819,-57.07,-53.464,-59.212,-61.955,-62.105,-60.874,-61.734,-56.788,-62.954,-55.472,-57.303,-57.462,-57.988,,-62.954,-51.322
13,-4.707,-58.777,-55.216,-60.98,-60.184,-54.793,-51.525,-61.238,-56.047,-57.997,-53.599,-61.04,-61.927,-62.103,-60.848,-61.916,-56.847,-62.954,-55.542,-57.151,-57.467,-57.63,,-62.954,-51.525
14,-4.844,-58.777,-55.545,-61.363,-62.341,-55.205,-51.97,-61.468,-56.354,-60.105,-54.415,-61.529,-62.036,-62.137,-61.113,-63.005,-56.978,-62.955,-55.688,-57.693,-57.561,-59.002,,-63.005,-51.97
15,-4.821,-58.777,-55.628,-61.392,-61.613,-55.286,-51.762,-61.552,-56.178,-61.688,-53.843,-61.321,-62.075,-62.134,-61.133,-63.028,-56.909,-62.955,-55.684,-57.769,-57.537,-58.154,,-63.028,-51.762
16,-4.867,-58.858,-55.834,-61.422,-63.664,-55.472,-51.885,-61.684,-56.476,-61.611,-54.447,-61.494,-62.137,-62.14,-61.146,-63.584,-56.984,-62.955,-55.695,-58.183,-57.584,-59.688,,-63.664,-51.885
17,-4.881,-58.93,-55.995,-61.437,-61.9,-55.592,-51.926,-61.784,-56.369,-61.678,-54.215,-61.47,-62.183,-62.142,-61.154,-63.258,-57.003,-62.955,-55.7,-58.598,-57.602,-59.032,,-63.258,-51.926
18,-4.807,-58.93,-55.819,-61.406,-63.66,-55.389,-51.649,-61.7,-56.195,-61.566,-53.841,-61.308,-62.148,-62.132,-61.154,-63.388,-56.928,-62.955,-55.682,-58.569,-57.528,-59.556,,-63.66,-51.649
19,-5.105,-60.181,-57.11,-61.523,-61.992,-56.32,-54.529,-62.236,-57.659,-62.09,-56.969,-62.046,-62.857,-62.312,-61.673,-63.383,-57.636,-62.955,-55.874,-60.623,-58.209,-61.482,,-63.383,-54.529
20,-4.902,-60.173,-56.975,-61.48,-63.931,-56.138,-53.783,-62.141,-56.489,-61.75,-53.513,-61.341,-62.454,-62.146,-61.467,-63.988,-57.577,-62.955,-55.736,-59.395,-57.827,-59.623,,-63.988,-53.513
21,-5.02,-60.173,-57.886,-61.515,-61.991,-56.443,-53.907,-62.294,-57.88,-61.903,-56.474,-61.839,-62.863,-62.207,-61.911,-63.385,-58.33,-62.955,-55.789,-60.18,-57.972,-61.28,,-63.385,-53.907
22,-5.014,-60.173,-58.764,-61.525,-64.171,-56.617,-54.227,-62.37,-58.028,-61.875,-54.26,-61.664,-62.666,-62.169,-62.096,-64.71,-58.937,-62.955,-55.802,-59.926,-58.001,-60.132,,-64.71,-54.227
23,-5.027,-60.173,-59.881,-61.533,-62.011,-56.772,-54.479,-62.434,-60.387,-61.904,-55.861,-61.751,-62.9,-62.203,-62.481,-63.415,-59.82,-62.955,-55.822,-60.21,-58.067,-61.252,,-63.415,-54.479
24,-5.037,-60.173,-61.208,-61.54,-64.231,-56.907,-54.743,-62.488,-60.978,-61.918,-54.774,-61.746,-62.822,-62.197,-62.792,-64.851,-60.778,-62.955,-55.845,-60.179,-58.149,-60.704,,-64.851,-54.743
