,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
0,3236.403,2673.032,3316.44,2959.936
1,3101.727,1997.767,3010.988,2334.139
2,2970.86,1388.285,2702.227,1422.751
3,2839.863,997.034,2373.062,856.452
4,2705.199,735.981,2017.293,594.808
5,2563.892,590.833,1635.263,445.527
6,2413.799,465.97,1238.16,297.192
7,2253.324,386.953,847.786,224.789
8,2081.529,324.531,499.003,179.944
9,1898.089,272.605,238.481,141.738
10,1703.398,236.777,112.488,113.022
11,1498.694,192.63,136.858,89.803
12,1286.315,161.729,270.209,92.675
13,1069.851,145.446,411.787,78.147
14,854.376,123.001,461.929,68.632
15,646.664,108.312,402.351,56.909
16,455.236,98.51,279.966,51.873
17,290.243,88.418,154.142,57.037
18,162.866,81.621,66.291,51.149
19,83.836,72.786,32.025,40.785
20,60.425,68.808,45.013,36.222
21,91.7,63.615,86.003,42.302
22,163.68,60.556,132.298,41.979
23,249.434,56.725,165.732,35.926
24,318.45,53.155,176.779,32.404
25,350.098,48.1,164.518,30.197
26,340.086,45.147,134.23,28.929
27,297.335,46.527,94.526,31.977
28,236.896,43.532,55.049,27.458
29,173.856,44.559,24.401,30.175
30,119.741,36.397,8.327,20.687
31,81.157,36.449,8.217,32.237
32,59.997,40.419,20.578,24.023
33,54.527,36.014,38.106,25.16
34,60.817,33.995,52.475,19.123
35,74.109,33.387,57.763,19.364
36,89.867,35.105,52.608,23.442
37,104.408,32.04,40.027,17.677
38,115.171,33.314,25.3,21.27
39,120.75,30.962,13.36,20.5
40,120.769,30.069,7.048,18.991
41,115.699,27.615,6.632,15.621
42,106.638,26.508,10.373,16.825
43,95.088,32.547,15.628,18.52
44,82.731,31.16,19.915,20.347
45,71.203,28.713,21.632,23.829
46,61.879,26.165,20.359,23.48
47,55.69,24.787,16.746,23.542
48,52.982,24.871,12.137,17.19
49,53.482,25.616,8.042,21.55
50,56.362,24.716,5.598,18.491
51,60.43,23.82,5.22,15.732
52,64.411,25.526,6.513,12.901
53,67.234,26.339,8.496,12.746
54,68.257,22.307,10.063,16.403
55,67.362,18.978,10.453,17.713
56,64.902,21.935,9.529,13.802
57,61.537,19.875,7.738,13.932
