,outputs,inputs,low,high,average
0,3.172,0.268,0.227,0.299,0.25195
1,2.958,0.23,0.187,0.259,0.21355
2,2.958,0.242,0.187,0.259,0.21355
3,2.958,0.306,0.187,0.259,0.21355
4,2.958,0.418,0.187,0.259,0.21355
5,3.351,0.574,0.19,0.262,0.22415
6,4.052,0.763,0.497,0.642,0.56465
7,5.053,0.975,0.821,0.913,0.85485
8,6.427,1.195,1.025,1.122,1.05885
9,8.445,1.409,1.213,1.325,1.2516
10,10.289,1.601,1.431,1.562,1.48145
11,11.812,1.757,1.628,1.798,1.69485
12,12.891,1.867,1.764,2.002,1.854
13,13.414,1.92,1.832,2.101,1.9331
14,13.414,1.911,1.832,2.101,1.9331
15,13.414,1.838,1.832,2.101,1.9331
16,13.365,1.702,1.832,2.101,1.9331
17,12.825,1.51,1.754,2.075,1.8621
18,11.797,1.271,1.322,1.637,1.4235
19,10.338,0.997,0.983,1.231,1.0771
20,8.532,0.702,0.648,0.82,0.7112
21,6.483,0.404,0.357,0.505,0.40615
22,4.374,0.117,0.15,0.253,0.18405
23,2.342,-0.143,-0.022,0.038,-0.00175
24,0.561,-0.363,-0.227,-0.19,-0.2104
25,-0.84,-0.531,-0.606,-0.562,-0.5799
26,-1.766,-0.64,-0.789,-0.743,-0.75865
27,-2.158,-0.686,-0.836,-0.785,-0.80065
28,-2.158,-0.669,-0.836,-0.785,-0.80065
29,-2.158,-0.594,-0.836,-0.785,-0.80065
30,-2.113,-0.47,-0.836,-0.785,-0.80065
31,-1.666,-0.306,-0.809,-0.718,-0.7735
32,-0.924,-0.119,-0.343,-0.237,-0.29265
33,0.029,0.077,0.167,0.252,0.2089
34,1.074,0.265,0.528,0.601,0.56475
35,2.067,0.428,0.683,0.75,0.709
36,2.859,0.552,0.777,0.831,0.79605
37,3.343,0.624,0.824,0.878,0.84505
38,3.419,0.635,0.831,0.886,0.85155
39,3.419,0.58,0.831,0.886,0.85155
