,outputs,nb_plays-0-units-128-ensemble-1-diff,nb_plays-0-units-128-ensemble-2-diff,nb_plays-0-units-128-ensemble-3-diff,nb_plays-0-units-128-ensemble-4-diff,nb_plays-0-units-128-ensemble-5-diff,nb_plays-0-units-128-ensemble-6-diff,nb_plays-0-units-128-ensemble-7-diff,nb_plays-0-units-128-ensemble-8-diff,nb_plays-0-units-128-ensemble-9-diff,nb_plays-0-units-128-ensemble-10-diff,nb_plays-0-units-128-ensemble-11-diff,nb_plays-0-units-128-ensemble-12-diff,nb_plays-0-units-128-ensemble-13-diff,nb_plays-0-units-128-ensemble-14-diff,nb_plays-0-units-128-ensemble-15-diff,nb_plays-0-units-128-ensemble-16-diff,nb_plays-0-units-128-ensemble-17-diff,nb_plays-0-units-128-ensemble-19-diff,lower,higher,average
0,0.423859804,-8.443,-0.923,3.242,-8.895,4.053,-8.894,-4.501,2.422,0.91,4.312,3.796,-4.734,6.12,-3.061,-6.771,-3.31,-3.016,-1.084,-8.895,6.12,-1.598722222
1,-1.111601198,-25.946,-25.516,21.543,-25.316,-28.045,30.689,-24.394,30.472,-32.952,-11.039,17.241,-23.034,-15.164,23.674,-32.308,19.67,11.763,40.932,-32.952,40.932,-2.651666667
2,0.37998949,-17.185,7.454,6.491,-12.131,-7.565,-3.598,-2.375,18.704,-4.28,0.115,1.465,-13.035,0.072,12.301,-5.52,5.418,1.505,9.27,-17.185,18.704,-0.160777778
3,0.116767604,-16.103,-2.406,4.069,-5.845,-6.284,-2.89,2.189,18.864,-19.656,-0.611,-3.271,-15.881,1.178,14.041,-23.771,4.462,2.185,14.076,-23.771,18.864,-1.980777778
4,-1.725785599,-30.868,-8.873,15.46,-10.867,-34.438,23.119,-19.269,17.178,-37.113,-8.355,14.282,-11.47,-19.395,38.486,-19.709,21.839,13.494,31.983,-37.113,38.486,-1.362
5,0.248378547,-8.467,-20.41,6.112,-4.081,-21.458,32.435,-20.377,17.103,-26.183,1.037,15.582,-0.799,-11.092,24.734,-19.463,14.465,6.402,38.017,-26.183,38.017,1.308722222
6,-1.199341827,-1.231,-1.678,9.245,-5.937,-27.79,21.175,-12.61,-3.215,-8.309,-2.125,4.443,-0.587,-25.458,16.135,-9.64,18.193,10.083,22.844,-27.79,22.844,0.196555556
7,-0.278065225,-1.422,-27.649,8.361,-5.248,-27.015,23.924,-33.667,10.5,-15.266,-2.257,19.169,-0.829,-44.643,6.362,-9.565,17.999,8.819,29.358,-44.643,29.358,-2.392722222
8,1.125784833,1.106,2.164,-1.179,8.951,-7.353,-0.342,-4.432,-9.317,8.094,7.71,-8.172,1.213,-31.112,-2.228,-0.073,2.764,2.139,7.844,-31.112,8.951,-1.234611111
9,0.68708169,1.786,-9.358,-2.985,5.485,-3.161,2.414,-12.586,2.273,-6.439,0.758,-5.414,1.12,-39.562,-2.169,-0.838,0.878,1.081,4.944,-39.562,5.485,-3.431833333
10,0.730952004,1.91,1.68,-7.194,0.247,2.235,-5.503,-4.275,-8.631,8.225,5.557,-5.343,1.7,-31.538,-4.304,4.022,-5.921,-2.436,4.68,-31.538,8.225,-2.493833333
