# #stocks, #noise, #price, #walk, #kn, #action,#timestep
4532,-132,0,0,0,buy,0
4398,-29,0.027,-132,-134,buy,1
4358,-57,0.035,-161,-174,buy,2
4300,-32,0.045,-218,-232,buy,3
4263,-54,0.051,-250,-269,buy,4
4204,82,0.065,-304,-328,sell,5
4287,59,0.018,-222,-245,sell,6
4346,176,0.001,-163,-186,sell,7
4523,-57,-0.017,13,-9,buy,8
4460,67,-6.94E-18,-44,-72,sell,9
4536,155,-0.018,23,4,sell,10
4691,-30,-0.039,178,159,buy,11
4660,28,-0.021,148,128,sell,12
4691,-19,-0.039,176,159,buy,13
4672,-40,-0.023,157,140,buy,14
4632,-123,-0.014,117,100,buy,15
4497,-98,0.005,-6,-35,buy,16
4399,-30,0.068,-104,-133,buy,17
4366,62,0.074,-134,-166,sell,18
4436,171,0.024,-72,-96,sell,19
4610,91,-0.027,99,78,sell,20
4706,189,-0.048,190,174,sell,21
4896,100,-0.078,379,364,sell,22
5000,110,-0.095,479,468,sell,23
5114,-28,-0.114,589,582,buy,24
5076,-4,-0.013,561,544,buy,25
5070,56,-0.011,557,538,sell,26
5128,-73,-0.034,613,596,buy,27
5050,-60,-0.006,540,518,buy,28
4984,8,0.004,480,452,sell,29
4993,-72,0.001,488,461,buy,30
4911,-27,0.017,416,379,buy,31
4873,94,0.023,389,341,sell,32
4969,-271,-0.001,483,437,buy,33
4695,-195,0.056,212,163,buy,34
4494,-10,0.089,17,-38,buy,35
4480,-125,0.091,7,-52,buy,36
4347,71,0.11,-118,-185,sell,37
4420,52,0.003,-47,-112,sell,38
4479,-15,-0.006,5,-53,buy,39
4461,20,-0.001,-10,-71,sell,40
4486,99,-0.007,10,-46,sell,41
4590,-7,-0.027,109,58,buy,42
4582,39,-0.018,102,50,sell,43
4624,42,-0.033,141,92,sell,44
4676,125,-0.042,183,144,sell,45
4804,42,-0.069,308,272,sell,46
4850,-60,-0.075,350,318,buy,47
4790,36,-0.034,290,258,sell,48
4827,-117,-0.063,326,295,buy,49
4710,176,-0.004,209,178,sell,50
4893,-36,-0.084,385,361,buy,51
4852,-23,-0.04,349,320,buy,52
4828,-83,-0.025,326,296,buy,53
4730,145,0.002,243,198,sell,54
4876,-80,-0.033,388,344,buy,55
4787,-34,-0.004,308,255,buy,56
4747,122,0.001,274,215,sell,57
4873,-25,-0.028,396,341,buy,58
4845,35,-0.014,371,313,sell,59
4885,-1,-0.036,406,353,buy,60
4884,16,-0.031,405,352,sell,61
4903,-9,-0.039,421,371,buy,62
4894,-97,-0.027,412,362,buy,63
4788,-10,-0.004,315,256,buy,64
4762,84,-0.001,305,230,sell,65
4849,29,-0.024,389,317,sell,66
4887,-47,-0.036,418,355,buy,67
4836,46,-0.013,371,304,sell,68
4882,-132,-0.035,417,350,buy,69
4749,113,0.001,285,217,sell,70
4875,-7,-0.028,398,343,buy,71
4867,-12,-0.02,391,335,buy,72
4854,-52,-0.015,379,322,buy,73
4799,67,-0.004,327,267,sell,74
4869,206,-0.027,394,337,sell,75
5077,-38,-0.116,600,545,buy,76
5034,99,-0.012,562,502,sell,77
5138,-97,-0.053,661,606,buy,78
5034,34,-0.012,564,502,sell,79
5070,203,-0.029,598,538,sell,80
5276,-130,-0.147,801,744,buy,81
5146,-5,0.004,671,614,buy,82
5130,-42,0.005,666,598,buy,83
5088,-141,0.013,624,556,buy,84
4943,-30,0.029,483,411,buy,85
4901,-99,0.035,453,369,buy,86
4796,-78,0.05,354,264,buy,87
4718,-14,0.06,276,186,buy,88
4698,-121,0.063,262,166,buy,89
4576,-167,0.08,141,44,buy,90
4408,-4,0.104,-26,-124,buy,91
4400,-143,0.105,-30,-132,buy,92
4257,-145,0.125,-173,-275,buy,93
4110,185,0.147,-318,-422,sell,94
4303,-135,-0.012,-133,-229,buy,95
4157,-104,0.017,-268,-375,buy,96
4048,52,0.156,-372,-484,sell,97
4106,-94,0.003,-320,-426,buy,98
4011,10,0.032,-414,-521,sell,99
4021,-31,0.02,-404,-511,buy,100
3988,16,0.041,-435,-544,sell,101
4008,43,0.024,-419,-524,sell,102
4055,57,0.013,-376,-477,sell,103
4131,15,0.001,-319,-401,sell,104
4150,-26,-0.001,-304,-382,buy,105
4123,62,0.005,-330,-409,sell,106
4185,36,-0.004,-268,-347,sell,107
4224,-120,-0.008,-232,-308,buy,108
4098,25,0.018,-352,-434,sell,109
4123,103,0.006,-327,-409,sell,110
4228,-208,-0.009,-224,-304,buy,111
4019,-98,0.044,-432,-513,buy,112
3921,17,0.175,-530,-611,sell,113
3947,-73,0.011,-513,-585,buy,114
3872,-71,0.04,-586,-660,buy,115
3794,50,0.196,-657,-738,sell,116
3851,37,0.011,-607,-681,sell,117
3894,106,0.005,-570,-638,sell,118
4002,-67,-0.003,-464,-530,buy,119
3931,63,0.012,-531,-601,sell,120
3995,-259,-0.002,-468,-537,buy,121
3736,-162,0.208,-727,-796,buy,122
3573,-100,0.242,-889,-959,buy,123
3473,168,0.267,-989,-1059,sell,124
3641,-63,0.014,-821,-891,buy,125
3578,-93,0.04,-884,-954,buy,126
3484,162,0.26,-977,-1048,sell,127
3659,-17,0.013,-815,-873,buy,128
3638,-70,0.025,-832,-894,buy,129
3557,39,0.051,-902,-975,sell,130
3602,-43,0.024,-863,-930,buy,131
3557,282,0.051,-906,-975,sell,132
3851,-39,-0.002,-624,-681,buy,133
3810,49,0.007,-663,-722,sell,134
3867,-26,-0.003,-614,-665,buy,135
3836,302,0.004,-640,-696,sell,136
4142,-116,-0.026,-338,-390,buy,137
4018,46,0.003,-454,-514,sell,138
4065,20,-0.007,-408,-467,sell,139
4086,-76,-0.012,-388,-446,buy,140
4006,-153,0.005,-464,-526,buy,141
3853,147,0.141,-617,-679,sell,142
4000,138,-0.007,-470,-532,sell,143
4142,-80,-0.026,-332,-390,buy,144
4058,-41,-0.001,-412,-474,buy,145
4011,-19,0.004,-453,-521,buy,146
3982,-33,0.009,-472,-550,buy,147
3940,167,0.018,-505,-592,sell,148
4118,-14,-0.017,-338,-414,buy,149
4104,-105,-0.009,-352,-428,buy,150
3998,-69,0.008,-457,-534,buy,151
3923,39,0.021,-526,-609,sell,152
3963,-58,0.005,-487,-569,buy,153
3904,-41,0.027,-545,-628,buy,154
3861,18,0.14,-586,-671,sell,155
3880,69,0.009,-568,-652,sell,156
3953,-30,-0.001,-499,-579,buy,157
3922,38,0.006,-529,-610,sell,158
3961,-98,-0.002,-491,-571,buy,159
3853,-130,0.021,-589,-679,buy,160
3719,-146,0.188,-719,-813,buy,161
3568,-249,0.231,-865,-964,buy,162
3314,3,0.31,-1114,-1218,sell,163
3322,11,0.038,-1111,-1210,sell,164
3341,8,0.036,-1100,-1191,sell,165
3351,-125,0.035,-1092,-1181,buy,166
3226,170,0.339,-1217,-1306,sell,167
3407,235,0.028,-1047,-1125,sell,168
3642,-7,0.01,-812,-890,buy,169
3633,213,0.017,-819,-899,sell,170
3852,47,-0.004,-606,-680,sell,171
3907,-70,-0.008,-559,-625,buy,172
3833,-46,0.007,-629,-699,buy,173
3781,-205,0.018,-675,-751,buy,174
3571,191,0.224,-880,-961,sell,175
3769,144,0.002,-689,-763,sell,176
3919,-49,-0.009,-545,-613,buy,177
3868,-153,0.003,-594,-664,buy,178
3712,58,0.042,-747,-820,sell,179
3773,-22,0.016,-689,-759,buy,180
3750,136,0.029,-711,-782,sell,181
3889,86,-0.003,-575,-643,sell,182
3992,-68,-0.014,-489,-540,buy,183
3918,63,0.003,-557,-614,sell,184
3986,-3,-0.012,-494,-546,buy,185
3980,208,-0.006,-497,-552,sell,186
4198,116,-0.03,-289,-334,sell,187
4317,73,-0.04,-173,-215,sell,188
4393,135,-0.047,-100,-139,sell,189
4529,216,-0.06,35,-3,sell,190
4751,13,-0.083,251,219,sell,191
4765,-11,-0.085,264,233,buy,192
4752,26,-0.056,253,220,sell,193
4784,-83,-0.087,279,252,buy,194
4689,42,-0.013,196,157,sell,195
4732,98,-0.033,238,200,sell,196
4834,-2,-0.093,336,302,buy,197
4827,-52,-0.064,334,295,buy,198
4767,-37,-0.016,282,235,buy,199
4716,25,-0.001,245,184,sell,200
4742,-154,-0.009,270,210,buy,201
4587,244,0.027,116,55,sell,202
4837,-111,-0.029,360,305,buy,203
4720,-183,-4.86E-17,249,188,buy,204
4535,134,0.041,66,3,sell,205
4682,-36,-4.86E-17,200,150,buy,206
4645,46,0.01,164,113,sell,207
4693,-164,-0.002,210,161,buy,208
4522,-36,0.044,46,-10,buy,209
4486,-71,0.054,10,-46,buy,210
4407,74,0.074,-61,-125,sell,211
4482,-51,0.02,13,-50,buy,212
4425,48,0.051,-38,-107,sell,213
4478,-22,0.022,10,-54,buy,214
4455,268,0.039,-12,-77,sell,215
4726,22,-0.057,256,194,sell,216
4750,-130,-0.066,278,218,buy,217
4619,-32,-0.006,148,87,buy,218
4587,178,-4.86E-17,116,55,sell,219
4771,-85,-0.072,294,239,buy,220
4686,-122,-0.019,209,154,buy,221
4558,90,0.014,87,26,sell,222
4651,-6,-0.005,177,119,buy,223
4641,30,-0.002,171,109,sell,224
4671,-151,-0.009,201,139,buy,225
4519,67,0.026,50,-13,sell,226
4596,-83,0.003,117,64,buy,227
4506,-108,0.029,34,-26,buy,228
4394,93,0.077,-74,-138,sell,229
4493,-56,0.015,19,-39,buy,230
4437,-53,0.038,-37,-95,buy,231
4384,57,0.079,-90,-148,sell,232
4444,37,0.028,-33,-88,sell,233
4489,79,0.014,4,-43,sell,234
4573,1,-0.007,83,41,sell,235
4585,-29,-0.013,84,53,buy,236
4554,52,-0.002,55,22,sell,237
4618,-80,-0.019,107,86,buy,238
4535,106,0.001,27,3,sell,239
4643,154,-0.028,133,111,sell,240
4804,66,-0.082,287,272,sell,241
4873,62,-0.097,353,341,sell,242
4936,-8,-0.105,415,404,buy,243
4928,-43,-0.055,407,396,buy,244
4885,-40,-0.013,364,353,buy,245
4831,18,-0.001,324,299,sell,246
4849,-146,-0.006,342,317,buy,247
4699,-268,0.023,196,167,buy,248
4424,-56,0.08,-72,-108,buy,249
4366,-73,0.094,-128,-166,buy,250
4288,-101,0.107,-201,-244,buy,251
4187,104,0.125,-302,-345,sell,252
4306,-16,-0.003,-198,-226,buy,253
4285,125,0.002,-214,-247,sell,254
4414,-25,-0.019,-89,-118,buy,255
4385,76,-0.006,-114,-147,sell,256
4463,141,-0.028,-38,-69,sell,257
4608,-24,-0.052,103,76,buy,258
4579,7,-0.027,79,47,sell,259
4586,-52,-0.038,86,54,buy,260
4534,15,-0.016,34,2,sell,261
4550,-72,-0.027,49,18,buy,262
4477,133,-0.003,-23,-55,sell,263
4614,-6,-0.044,110,82,buy,264
4607,100,-0.031,104,75,sell,265
4710,-40,-0.069,204,178,buy,266
4664,92,-0.034,164,132,sell,267
4760,-88,-0.075,256,228,buy,268
4663,11,-0.016,168,131,sell,269
4674,-30,-0.024,179,142,buy,270
4643,85,-0.011,149,111,sell,271
4731,17,-0.042,234,199,sell,272
4751,-26,-0.052,251,219,buy,273
4722,-40,-0.027,225,190,buy,274
4680,68,-0.017,185,148,sell,275
4751,113,-0.052,253,219,sell,276
4866,123,-0.093,366,334,sell,277
4993,17,-0.112,489,461,sell,278
5010,-58,-0.114,506,478,buy,279
4952,-25,-0.007,448,420,buy,280
4915,79,-0.001,423,383,sell,281
4996,110,-0.023,502,464,sell,282
5106,-235,-0.127,612,574,buy,283
4861,-149,0.022,377,329,buy,284
4711,-76,0.047,228,179,buy,285
4630,37,0.06,152,98,sell,286
4672,-33,0.031,189,140,buy,287
4639,-11,0.057,156,107,buy,288
4623,-145,0.061,145,91,buy,289
4477,-81,0.084,0,-55,buy,290
4387,-129,0.099,-81,-145,buy,291
4250,280,0.12,-210,-282,sell,292
4531,-185,-0.03,70,-1,buy,293
4344,-7,0.011,-115,-188,buy,294
4327,1,0.014,-122,-205,sell,295
4328,-75,0.011,-121,-204,buy,296
4250,-166,0.12,-196,-282,buy,297
4077,-37,0.148,-362,-455,buy,298
4036,6,0.156,-399,-496,sell,299
4053,126,0.01,-393,-479,sell,300
4189,4,-0.005,-267,-343,sell,301
4203,-130,-0.007,-263,-329,buy,302
4072,-5,0.019,-393,-460,buy,303
4062,184,0.021,-398,-470,sell,304
